pp,response_id,color_drink,color_drink_coded_1,color_drink_coded_2,color_drink_coded_3,color_health,color_health_coded_1,color_health_coded_2,color_health_coded_3,color_own,Color_own_coded_1,Color_own_coded_2,Color_own_coded_3
354,R_12PvYsOwR2vj7l0,The drink (squash or water based drinks) dilutes the urine.,concentration,diet,,It means they could have diabetes.,disease,,,It encourages me to drink more.,drink_more,,
355,R_1Quds3BXFEDsDu7,The darker it is tends to mean they are not drinking enough.,amount,,,"Not drinking enough, effecting kidneys?",hydration,organ ,,It doesn't - I'm aware I don't drink enough but I'm put off drinking more as it just makes me urinate very very frequently and that's frustrating.,no_effect,,
356,R_1Hvo6JFZzqY2EKd,If it is dark I believe it means you haven't drunk enough,amount,,,Kidney function,organ,,,Yes if its too dark I make an effort to drink more,drink_more,,
358,R_9Blef4D471l4mm5,Darker in colour means dehydrated,hydration,,,Dehydrated so body needs fluid,hydration,,,I loosely keep an eye on it,awareness,,
359,R_2YXONVZ8jnZIQK4,if it is very dark it indicates either disease of they are not drinking enough,hydration,amount,,it is a very strong indicator of certain health issues,disease,,,I moniter the coulour to ensure I do not become de hydrated,awareness,,
360,R_3EDYmil8xlt8YDO,"darker colours show dehydration, clear is too much liquid",hydration,amount,,"darker colours can show signs of some kind of health disorder e.g. blood in urine, kidney problems",disease,organ,,will drink more if its darker than usual,drink_more,,
361,R_qKg2jPFtIcMoWyt,The darker it is the more dehydrated they are. Ideally you want your urine to be as light as possible.,hydration,,,Darker the urine the more concerned they should be.,N/A,color ,,It encourages me to drink more water if i see my urine is dark coloured.,drink_more,,
362,R_1H8iXJ1R0pPurMo,When you drink a lot you urine should be pale straw yellow colour. When you don't drink too much fluids than urine will be darker in colour.,amount,,,I think sometimes colour of urine can be sign of some sickness.,disease,,,To be honest I never thought about that before and never was too much concern about the colour of my urine.,no_effect,,
363,R_XM8gFBZEYM7tLtT,The more someone drinks the clearer their urine will be,amount,,,"If they are hydrated and healthy it will be clearer, the more unhealthy they are the darker it will be",color,hydration,,If I see it getting darker I make an effort to drink more,drink_more,,
364,R_1l0sBahPIRZcXi2,"The darker, the more dehydrated",hydration,,,It is not healthy to be dehydrated,hydration,,,If I see my urine is dark I will drink more,drink_more,,
365,R_3lKseoor2K64EEt,Indication of hydration levels,hydration,,,Not really health more lifestyle,no_effect,,,I may drink more if it is very dark,drink_more,,
366,R_2Sv6G3TNJ3Lf80e,The darker it is the more dehydrated they are,hydration,,,I am not sure. But dark urine is never a good thing,color,,,"Yes, we have a urine chart in our loo. I try to drink more",drink_more,,
369,R_31MHI3HemJZj5Xk,"Yes , Sugar can change the colour . Some foods change the colour",diet,,,Could have diebetes,disease,,,Not at all,no_effect,,
370,R_2UX8Z75OJsNSrb1,shows amount they are dehydrated,hydration,,,clear is better,color,,,it does not,no_effect,,
372,R_1dK8tCPp8C31Z8F,The less you drink the darker your urine,amount,,,The darker the urine the more chance of health related issues,disease,,,I drink more water if I notice my urine is darker than it should be,drink_more,,
373,R_2tbbW7jHdoVspuv,The lighter the more hydrated,hydration,,,The less hydrated the more they will ache and their metabolism may be slower,hydration,,,If it's dark I drink more,drink_more,,
374,R_29cst09IahueMXz,"Generally if you're drinking more fluids and are hydrated, your urine should be a lighter colour or clear",amount,hydration,,"I think it can be an indicator of poor hydration and therefore poorer health, but is not the sole factor.   If the urine is red, obviously, you should get to an A&E",color,disease,,"If my urine is turning a darker yellow, I may tend to drink more water, but don't always do so.",drink_more,,
375,R_3iE8B5M2hursNux,The darker it is the more dehydrated they are.,hydration,,,Yes.,N/A,,,I know that I don't drink enough water.,awareness,,
378,R_3DeEo7MBTKxaA6R,I think if your urine is a dark colour you need to drink more fluids,amount,,,I think it is an indicator of poor health if it is very dark or smells strong,color,,,makes me aware and drink more water,awareness,,
382,R_27yBZQv1l8xYAYU,"THE MORE WATER YOU DRINK, THE CLEARER THE URINE.",amount,,,"IT CAN BE, YES.",N/A,,,"YES. IF IT IS TOO YELLOW, I WILL DRINK MORE WATER.",drink_more,,
383,R_BOZgR0Q4Ed5gfxn,Dark coloured urine reflects someone who does not drink enough. The more you drink the lighter the urine becomes,amount,,,if the urine is dark this can be a sign of health issues. It usually means you are not drinking enough to be properly hydrated.,hydration,disease,,i would realise i had not had enough water that day if the urine was darker than usual,awareness,,
384,R_C14oooFQy2RzTtD,"The darker the colour the more dehydrated a person is. The more I drink water, or water with a dash of squash the lighter the colour and the more hydrated I am.",hydration,amount,,I think it is to a degree but if you drink plenty of water to keep yourself hydrated but the colour of the urine doesn't go lighter then there may be an underlying health issue. If they drink more water and the colour goes lighter everything seems normal from my understanding.,hydration,,,If I notice it's darker then I'll up my water intake whereas if I notice it's light i'll maintain my current water intake,drink_more,,
385,R_2y7yTtx6qwVPqmA,the more hydrated the paler the urine,hydration,,,not sure,N/A,,,doesn't,no_effect,,
388,R_3m4P6A2ZYi0n9P8,"The darker your urine, the more dehydrated you are.",hydration,,,"If it is consistently dark, they are dehydrated which could give long term health issues.",hydration,color,,If my urine is dark I drink more to try and re hydrate myself,drink_more,,
389,R_31S3Vewc4r8jBMN,"The more water, the lighter it is",amount,,,Dark urine could indicate a UTI or other illness,disease,,,If it is dark I know I need to drink more water,awareness,,
390,R_10uQetZNtn6vQJ8,darker means not drinking enough water,amount,,,dark means dehydrated,hydration,,,i know i should drink more water but i dont,awareness,,
391,R_10TxpSR5QB94AC2,Generally the more liquid someone drinks the clearer their urine will be,amount,,,"Very clear urine can indicate water intoxication, dark urine can indicate dehydration or infection. Cloudy or unusually coloured urine can indicate health problems or diet issues",hydration,disease,diet,dark yellow urine might prompt me to drink a pint of water,drink_more,,
392,R_2sXRhAC5NsgA737,The lighter the colour indicates that they drink more fluids,amount,,,Yes I believe so,N/A,,,Yes it does. I tend to increase my fluid intake if my urine is dark,drink_more,,
393,R_2sSAIS2z5f8DnHw,"I think it largely reflects how hydrated they are, so in effect how much water they are consuming",hydration,amount,,The darker the urine is the poorer health someone may be. That also could be said for virtually translucent urine on occasions,color,,,If its darker I drink more water,drink_more,,
394,R_1qanLINMnlU3DfT,"I think the darker the colour of urine, the more they need to drink.",amount,,,"I think the lighter the colour of urine, the more hydrated their body is.",hydration,,,"If I see that my urine is darker, I make an effort to up my liquid intake.",drink_more,,
395,R_2qgd6qTxLLi8WUA,shows how dehydrated they are,hydration,,,darker urine could show signs of infection?,disease,,,might make me drink more if i saw it was dark,drink_more,,
396,R_3oNRnZTK5p6846o,"The colour could tell you whether you're dehydrated or not, could also indicate potential infections",hydration,health,,could indicate potential infections,disease,,,"The darker it is, the more water you should drink.",N/A,,
397,R_2fx7AONFGqPXC17,i think it reflects a lot,N/A,,,i think this is less accurate,N/A,,,Yes - If its dark I drink more,drink_more,,
398,R_2U3hZYliIPhHGUH,darker colour suggests not drinking enough water,amount,,,Perhaps a sign of a problem with kidneys,organ,,,i make an effort to drink more water if I notice it is dark,drink_more,,
399,R_21zIv2Sn1C8zYrY,"The more yellow, the more dehydrated",hydration,,,"Not much, it just means you should drink more",hydration,,,Not at all,no_effect,,
400,R_3qUmYjSZkPzCjRm,If it dark then it means they are dehydrated,hydration,,,If it darker then they are not healthy enough as they are probably dehydrated and should drink more water,color,hydration,,If it is darker then I will try and drink more water or keep an eye out for other symptoms,sometimes_more,,
401,R_Tv0G58wexjQ2D7z,Darker it is then the less water they've drank,amount,,,Darker is unhealthy.,color,,,I drink more if my pee isn't light enough,drink_more,,
402,R_3j7n9b9lNvXFNqp,The stronger color shows less water consumed,amount,,,I have no idea. Perhaps normal urine should be pale.,N/A,,,It has no effect.,no_effect,,
403,R_1pS9gLu1iRic4Xo,Because the waste product from the kidneys is more diluted if you drink more,concentration,,,"If I'm sick, my urine is always a darker yellow, I assume because of my body fighting infection",disease,,,"If my urine is darker yellow, I always drink a pint of water or more if its available",drink_more,,
404,R_10ximB7QgNhHGcw,think it tells whether they are dehydrated or drinking enough fluids,hydration,amount,,"it can determine if there is diabetes, urine infection etc",disease,,,keep a check on any changes,drink_more,,
405,R_3irQrNGsvEZhCQ8,"The lighter the better the fluid intake ,and ability for the kidneys to get rid of waste",amount,toxins,,Lighter means less likely to get kidney stones,organ,,,It does not,no_effect,,
407,R_2wRkyCLWbFum24c,The colour of their urine directly correlates to how much water they consume,amount,,,"The colour is not completely representative of someones health on a day by day basis. However if their urine colour is dark over a long period of time, you could predict that they are going to be less healthy in the long run",color,,,"If it looks darker than usual, ill drink more water",drink_more,,
408,R_1j8PcgCVIrkbz3H,I think the darker the colour shows they have drank enough,amount,,,Lighter is healthier,color,,,It does not. My answers to the study is an accurate representation of my daily drinking habits,no_effect,,
410,R_2QJR6HNK8oHyZKA,It reflects if they are dehydrated and not consuming enough clear fluids,hydration,amount,,I do not think it is related,no_effect,,,It does not,no_effect,,
411,R_1GVM1r2aFOHClkV,"The darker the colour, the more dehydrated they are. Certain foods/drinks can also alter the colour.",hydration,diet,,"If it's consistently dark, then they could be chronically dehydrated from either not drinking enough, or they could have some type of underlying disease. I would think the lighter the colour, the healthier that person is (unless the urine is completely clear).",color,hydration,disease,"It usually doesn't affect my drinking habits, as, after being chronically dehydrated for much of my life in the past, I'm now very careful about drinking consistently through the day.",no_effect,,
412,R_RwUmuPvG5lKsbE5,It does but I can't remember what colour is good,N/A,,,Indirectly if it is linked to water consumption,hydration,,,It doesn't,no_effect,,
413,R_5uUXsE0N660mzPb,Not sure,N/A,,,Not sure,N/A,,,Not sure - more water I drink the clearer it gets,N/A,,
414,R_2q4tu1RG66kmXTB,If someone doesn't drink enough fluids their urine will be darker in colour,amount,,,Healthy urine should usually be a very light yellow colour,color,,,If I notice my urine looks darker than usual I will consciously try to drink more water,awareness,,
415,R_1IuWkwDipSHTAFE,The more you drink the lighter it would be,amount,,,not sure,N/A,,,it does not,no_effect,,
416,R_3HXELeTqgcbOkL6,The lighter the urine's colour is the more liquids this person has had.,amount,,,I believe that you have to drink as many liquids as you can so that your urine will be as clear as possible. I think this is to get rid of toxins which are not got for you.,hydration,,,"If I notice that my urine colour is dark then I try to drink more liquids, especially water. Sometimes it motivates me to keep drinking liquids until my urine looks less thick and clear-like.",sometimes_more,,
417,R_2rkoomWMJcVX5MI,The lighter the colour the more they drink.,amount,,,The darker the urine the less they drink therefore if it is very dark they would be dehydrated.,hydration,,,Sometimes if my urine is darker than normal I will go and drink some water.,sometimes_more,,
418,R_3dKsmYF9wvsWWbd,The paler the urine the more hydrated the person is.,hydration,,,It could be indicative of a problem with their kidneys.,organ,,,Does not affect it as I am usually good at keeping myself hydrated.,no_effect,,
419,R_31cQipCmH1pKVR8,"The paler it is the more hydrated, dark urine is a sign of dehydration",hydration,,,Consistently dark urine could be a kidney issue,organ,,,If I see I have dark urine I make sure to drink more water.,drink_more,,
420,R_1MKmfBO39gj3qy5,"The colour shows how diluted the urine is. The more they have drunk, the lighter the colour.",concentration,amount,,"It can be, but certain conditions and medications can cause the colour to vary.",disease,diet,,It doesn't. I know that my urine will always be dark as I purposely dehydrate to avoid pain,no_effect,,
421,R_QneagjsRqbQaI5b,"the lighter it is, the more they drink",amount,,,"the lighter it is, the better the health",color,color,,it doesn't,no_effect,,
422,R_3pgPe5uDOBcZFHH,The colour of someone's urine indicates how hydrated they are.,hydration,,,Hydrated people tend to have less health issues generally.,hydration,disease,,I've always drunk loads of water so for me it's not even something I think about too often.,no_effect,,
423,R_1IRzR3bjcIioJqG,I believe the color of the urine imply that a person is not drinking enough water the darker the urine means they need more water.,amount,,,"the colour can say that a person is not drinking enough water which could cause a lot of problems to a persons health , to being tired,  over eating ,",hydration,,,i do try to check that the color is light or i will try to drink more water,drink_more,,
424,R_2v8hhfyKJzPs9Tu,i think its dark if they are dehydrated,hydration,,,dark indicates issues potentially,N/A,,,it doesnt,no_effect,,
425,R_2Va6WospNf0N6fB,Paler urine likely means they drank more.,amount,,,Darker urine is probably a bad sign.,color,,,I don't really take it into account.,no_effect,,
426,R_VWJKfHgLouGmOxb,"the clearer it is, the healthier they are",health ,,,"if its yellow, they dont drink much water so unhealthy",color,,,i drink more water if its very yellow,drink_more,,
427,R_2bNw6xB1UKDgH7x,The darker the colour the more likely they are dehydrated,hydration,,,Not necessarily related to their health but might be,N/A,,,I might drink more fluid if urine is dark,drink_more,,
428,R_1q8L4A4gEJ9lFxZ,Urine should ideally be pale straw colour or lighter. The darker the urine the more dehydrated you may be and indicates you need to drink more fluids (unless you have a health condition that affects colour).,hydration,amount,health,Darker urine usually means you need to drink more water or clear fluids. Itc ould be causing you health issues related to dehydration such as headaches. IF you have dark urine that is rusty or red tinged then unless you have been eating a lot of food such as beetroot or cranberries you shoud get checked out for blood in yout urine.,hydration,color,,I  will drink more water and herbal tea if it is dark.,drink_more,,
429,R_270UYj4PM3Ax6LH,Whether they are drinking enough,amount,,,"can you tell if someone is dehydrated, has diabetes",hydration,,,if my urine is a strong deep colour I will immediately start drinking more fluids,drink_more,,
430,R_xrecjHH2hmUtJQt,Darker = less hydrated Lighter = more hydrated,hydration,,,Lighter and more frequent = healthier,color,,,Know to drink more if its dark,drink_more,,
431,R_3qPcRFPAk7oZBuz,"It is a strong indicator of hydration for most people, by the time a persons urine turns a darker colour, they are already dehydrated and behind on fluid consumption.",hydration,amount,,My understanding is that pale urine is a sign of good hydration. Discolouration or darkening could be a sign of dehydration or a more significant health issue.,hydration,disease,,I certainly pay attention if my urine is dark and will make a concerted effort to drink more water.,awareness,,
432,R_9sq3pLRHyaI0ymB,"Yes.  When I use to mountaineer I started looking at my urine colour as a guide to my dehydration.  In the dry, high altitudes doing hard physical exercise continuously for hours on end, it was easy to become dehydrated without realising it.",hydration,,,Dehydration is the most obvious.   Then the body might be getting too much of something and the body is excreting the excess. The body might be breaking down and excreting it via urine. Could be blood in the urine from one of many things.,hydration,disease,,"Mostly I'm on top of the colour of my urine, but in the few occasions it's colour starts to darken I drink more.",drink_more,,
433,R_1rdfUwx5wwYN4Ii,"It can vary due to food consumption and also how much they drink. Asparagus can make urine a shade of green and strong smelling, beetroot can give it a pink/red shade. But also the colour can be an indicator that you are dehydrated and need more fluids",amount,diet,hydration,"The colour of someones urine can indicate that there is a bleed somewhere and an early indication that you need to see your GP. It can also indicate that someone is dehydrated from too much sun or exercise, which there slows down the blood moving round your body and can effect internal organs such as heart and liver",hydration,organ,,"If I see my urine is dark then I go and have a glass of fluid to help, if my urine is clear then I know Im doing something right.",drink_more,,
434,R_2aIz8qgV4uvmzGk,"I think if they drink a lot of water than their urine will be lighter in colour, but if they drink mainly processed drinks like soda and sugary drinks, then their urine might be more darker in colour",amount,diet,,if it is lighter than they are healthier but if it is darker than they might have some underlying health issues,color,,,"If I notice it is getting darker in colour, I tend to drink a lot more water",drink_more,,
435,R_2ZCFnbnskNdnj77,"If they are dehydrated it will be darker. It's also darker in the mornings. If they've got a urine infection this will also affect the colour, usually making it darker.",hydration,health,,"Any changes will indicate something's not right (though some foods can change the colour without bad effects on health). It can show things like whether you're drinking enough water/liquids, but also what's in the urine that shouldn't be - blood for example.",hydration,disease,,"It doesn't really, it's something I would observe after the fact, so when I've had cystitis for example. I would be trying to drink lots of water, or water plus bicarbonate of soda, in any case. But the symptoms of an infection like that are so bad that my main concern is trying to alleviate them and I don't really think about urine colour. Luckily I haven't had cystitis for a long time, and I occasionally take d-mannose if I feel like I've upset the balance in some way (eating too much sugar for example).",no_effect,,
437,R_2PBfck5quEz60ZP,the clear the urine the more hydrated you are/had plenty to drink,hydration,amount,,if its dark then your body is lacking in something,N/A,,,can spot any problems early on,N/A,,
438,R_00rcLr2kCfCOyPL,"I believe the less you drink, the darker your urine would look, and the more you drink/the more hydrated you are, the lighter it is.",amount,hydration,,I would assume lighter yellow coloured urine would come from healthier people,color,,,"If it is particularly dark one day, it may make me want to drink more water",drink_more,,
439,R_vwpnP1RVm4MwDyF,If it's dark they should be drinking more clear fluids.,hydration,amount,,"They could be dehydrated if it is too dark, could also be to do with urinary tract or kidney health",hydration,organ,,If it smells strong or is too dark I will have a pint of water straight away,drink_more,,
440,R_2uIg9sj6qp1In4K,The darker the urine the more they need to drink.,amount,,,I think if it's dark they are not drinking enough.,hydration,,,I drink more the darker my urine.,drink_more,,
441,R_31vFAvT0hsjmbOP,yes,N/A,,,yes changes to it can be symptons of health problems,color,,,If i notice it darker then i do make more effort to drink more water,drink_more,,
442,R_3scWVrDtQVmfNUf,lighter the colour the more water they have had,amount,,,the lighter the better,color,,,if I think it is too dark i'll make sure i'm drinking more,awareness,,
443,R_11jqOtDivzaCpSg,"The more fluids a person drinks, the lighter the colour of their urine.",amount,,,Darker coloured urine could potentially indicate that a person is unhealthy or should see a doctor.,color,,,If I notice that my urine is dark in colour I think I must be dehydrated and I try to drink a lot more water.,awareness,,
444,R_1d60XoFU67yym8u,as long as they are drinking the right things then it is as good indicator,diet,,,"the lioghter the colour the more hydrated i think they are, therefore it's a good indicator of one type of aspect of their health",hydration,color,,If it looks as though i am dehydrated i will drink more water,drink_more,,
445,R_cGtHEUL4xasZ2HT,If it's darker they may have not been drinking enough.,amount,,,It's hard to tell because a lot of things can probably cause variations in urine colour.,N/A,,,When it seems darker than usual I do try my best to up my fluid intake.,awareness,,
446,R_2U5HevtKzt0G3Dz,How dehydrated they are. The darker the colour the more dehydrated.,hydration,,,If it is occasionally darker need to drink some water. If commonly dark in colour may have impacts on health such as kidney stones. Could also be caused by metabolic disorders or infections if on-going.,hydration,color,disease,If I see my urine is darker than usual I would immediately drink water. Occasionally I eat beetroot and it gives me a shock when I wee :),drink_more,,
447,R_12DUMM2lKX3cbcD,Yes to a large degree,N/A,,,Yes to a small degree,N/A,,,"Yes, I tend to try and drink a little more.",drink_more,,
448,R_2SJ3LFK3tYotIdd,how hydrated they are,hydration,,,a good indicator of heath,N/A,,,if its dark i will drink more,drink_more,,
449,R_3L84tUGHGjCaBmz,I think the darker it is then the more dehydrated the person is.,hydration,,,If it's dark they need to drink more,hydration,,,It doesn't,no_effect,,
450,R_6rEpLDQabmQtxUl,A dark yellow means the person is seriously dehydrated.  A pale yellow is a healthy colour and shows the person is drinking enough liquid (not alcohol or caffeinated drinks) to be well-hydrated.,hydration,diet,health,"It is important to maintain a pale coloured urine otherwise urinary tract infections can occur, leading to kidney infection if not treated.  Hydration also helps blood flow and to wash out toxins from the body.  Dehydration also affects mental ability.  Without sufficient hydration, confusion in the mind can occur.",hydration,organ,,"Definitely yes - if for some reason I have not been able to drink as much as I usually do (if travelling for example) I notice my urine is darker than usual.  As soon as I can, I will drink a pint of water to help rehydrate my body.",drink_more,,
451,R_XhV4MRz1n2vL93H,dark yellow urine is a sign that you are dehydrated and that you must drink more fluids to prevent dehydration. If you eat vitamins colour of urine changes too.,hydration,diet,,"Urine that falls in the pale yellow category signals that you're healthy and hydrated, if its dark you need to drink more water.",color,hydration,,"it does not change, if I want to drink I drink if I don't I don't.",no_effect,,
452,R_1n6AC8G2xlk59Af,"The more water you drink, the lighter the colour of your urine.",amount,,,Clearer urine is better as it shows you are hydrated. Being dehydrated can impact on your health.,color,hydration,,Sometimes if I've done significant exercise the colour of my urine is darker and I ensure I drink plenty of water.,drink_more,,
453,R_W7gJwcSK8byDiff,"The lighter the better = more hydrated, although have been told the colour of what you drink can influence colour of urine",hydration,diet,,If dark alot or cloudy I would think this would be negative for someones health.,color,,,If I notice it is particularly dark I will drink a glass of water,drink_more,,
454,R_8ijFaTWOYQiDv6F,Generally darker urine means the person is less well hydrated but there are probably lots of other factors affecting urine colour.,hydration,,,It might be a useful indicator in some instances but not a diagnostic tool on its own.,N/A,,,It doesn't,no_effect,,
455,R_2s5Tq4zKCm4gKLW,The clear is it the more hydrated they are,hydration,,,Dark urine can indicate health issues/ dehydration,hydration,color,,It doesn't,no_effect,,
456,R_1kZV6EgweRuTn3O,Their hydration levels.,hydration,,,Clearer is usually better and shows good hydration.,hydration,,,If it gets dark I do tend to drink more water.,drink_more,,
457,R_1KrHoetGqZw37dS,The lighter in colour the more fluids that have been drank. Darker urine usually reflects dehydration.,amount,hydration,,Yes. The less you drink and more dehydrated you become the darker the urine. UTIs also can be in urine if there is blood present.,hydration,disease,,"If my urine is darker, I tend to drink more",drink_more,,
458,R_10JCPPEiE3PkYX7,"Not so much how much they drink, but what they drink - I think - never really thought about it.",diet,,,"No doubt doctors can tell someting from this, but i don't know !",N/A,,,"It doesn't, it's usually about the same colour anyway. But I seldom check !",no_effect,,
459,R_3g61HQYy3s0znOY,the more hydrated you are the lighter the colour is and the more healthy it is. the more concentrated urea is and so easier to pass,hydration,health,,"certain colours can indicate health issues, e.g. when i had my kidneys were kicking off and i had to go to hospital it was green. but green can also be linked to food eaten such as asparagus which also turns your pee green. yellow is usually good with clear is yellow but darker tones and brown is really bad,i.e. something gone wrong. bits in your pee can also indicate diabetes. this is all i remember from biology at school",color,organ,,"i usually try to drink more, than needed and am very concsious about my pee my partner encourages me to drink more too i have chronic issues with UTI infections and kidney issues.",awareness,,
460,R_2q4oeh25dzPBOgv,"If someone's urine is dark then they could be dehydrated and not drinking enough. If it is too light, and very clear, then they may have been drinking too much fluid.",hydration,,,"Having dark urine and being dehydrated is bad for your health, and can have serious complications, and can cause symptoms such as headaches, fatigue, and difficulties concentrating. Urine colour can indicate to professionals some aspect of one's health.",color,hydration,organ,"If I notice my urine is too dark I will make efforts to drink more fluids, particularly water and squash/diluted drinks.",drink_more,,
461,R_2AEBmzGlK8RFBkC,whether they are adequately hydrated,hydration,,,paler the colour better kidney health resulting in better general health,organ,color,,I drink more water when I notice a decline in colour,drink_more,,
462,R_239WdLGqhIH1ZVK,"Yes, to a certain extent i.e. only if the fluid hydrates e.g. water, in which case this would usually indicate how hydrated a person may be",hydration,diet,,"It can indicate hydration, infection and if a person has consumed food colouring",hydration,,,"If my urine colour darkens, I increase my level of water intake.",drink_more,,
463,R_1PUDvUkntEg6V0C,It can show whether or not someone is dehydrated,hydration,,,I think you can tell a lot from the colour,N/A,,,If I see that my urine is darker I consciously drink more to stay hydrated,awareness,,
464,R_r14Fr1fy8YUqODn,if hydrated it is usually clear. the darker it is the more dehydrated they are,hydration,,,not entirely sure about that,N/A,,,I increase water intake if urine is dark,drink_more,,
465,R_1HWnePoEXcf1rsB,"Proper hydration normally equates to a pale straw colour, a darker colour either indicates that either they haven't drunk enough water or a vigorous activity has been undertaken without proper hydration or something is wrong",hydration,amount,health,"It offers a quick indication of hydration levels and other organ functionality and health, such as the liver/kidneys.",hydration,color,organ,"If it's darker than usual, I normally drink a pint of water.",drink_more,,
466,R_2ztFPYWrA2EL5lo,the darker it is the more dehydrated they are,hydration,,,its usually an indicator of hydration levels and sometimes of kidney/other problems,hydration,organ,,It it gets notably darker than usual I'll try to drink a bit more,drink_more,,
467,R_3gYGGKoAtDPuN8K,Someone more dehydrated will have a darker urine,hydration,,,I don't know,N/A,,,I will drink more if I see my urine darkening,drink_more,,
468,R_2X7BlhE2ApJkuZj,the clearer the urine the more the person drinks,amount,,,darker colour is related to poorer health,color,,,if it is darker I will drink more,drink_more,,
469,R_2aLkukuhVETkFVB,"If it's dark, they don't drink near enough.",amount,,,"If it's dark and smelly, I think they are severely de-hydrated.",hydration,,,"If it's dark, I drink more. It makes me realise that I do need to hydrate myself as sometimes I simply forget and don't even notice I'm thirsty.",awareness,,
470,R_2VPej9PimpMqajD,"Generally I believe the more water they've consumed, the lighter their urine will be.",amount,,,"I would associate lighter urine with better health, and certainly better hydration.",color,hydration,,If I notice that I have particularly dark urine I may try to drink more that day.,drink_more,,
471,R_Anb1EDwcZRFnlzX,if its darker then it means they are dehydrated and need to consume more water,hydration,amount,,i suppose an odd colour could mean an illness,disease,,,if its dark and smelly i will try to drink more water,drink_more,,
472,R_2YCZkuOgErOVNLO,if drinkig too much or too little,amount,,,see if kidneys are working,N/A,,,dont know,N/A,,
473,R_ummozpRz3HoHTeV,How hydrated they are.,hydration,,,How hydrated they are.,hydration,,,If it's noticeably dark I would drink some water,drink_more,,
474,R_2Yg1ub1rn8JFdft,It lets you know if you are dehydrated.,hydration,,,Clear is a good indicator of good health.,color,,,If it is dark I make sure to drink more water.,drink_more,,
475,R_3Pc1AruU6g9dgeS,The more fluid intake the paler the urine,amount,,,It shows things like diabetes.,disease,,,The darker it is then I know I need to drink more.,drink_more,,
476,R_2dSddz0MG5PntvQ,If they are hydrated should be pale straw colour - worrying if darker orange.,hydration,health,,Darker colour may be cause for concern - maybe dehydrated,hydration,,,"If my urine looks dark, I will drink more water, even if not feeling thirsty",drink_more,,
477,R_25WW2GhgmDHY14m,"if they drink a lot, the urine should be very light in colour. Drink too little and urine is dark orange.",amount,,,I know urine can smell sweet when (pre)diabetic. Urine in general should be light in colour,N/A,,,If I notice that it's getting darker I try to drink more water.,drink_more,,
478,R_3PZFqWAVL8C0Fv6,The darker their urine colour the more dehydrated they are and they are not using the toilet enough,hydration,health,,The lighter the more healthier they are,color,,,If it is dark urine I would drink more water,drink_more,,
479,R_1GV7WhzfHGQgjld,If the urine is a dark yellow you are dehydrated and need to drink more.,hydration,amount,,it shows how hydrated you are.,hydration,,,i dont really observe it.,no_effect,,
480,R_1rIg9WjnKs4cPuy,Darker colour may indicate the person has not drank enought to be properly hydraded,amount,,,Darker colour may indicate pooer health,color,,,"I do try to drink more if I observe a darker than normal urine colour. However, I don't obsess about it.",drink_more,,
481,R_3gUHdtqFCF8DgnA,The darker the colour the more dehydrated they are.,hydration,,,If often dark then that could mean more health problems.,color,,,I tend to drink more water if I notice my urine being darker than normal.,drink_more,,
482,R_3oyxI3Mcoqvur2A,The darker the colour means that less water has recently been consumed.,amount,,,"A lighter urine colour indicates better health, due to the consumption of more water.",color,,,If my urine is very dark it reminds me to drink more water.,drink_more,,
483,R_3j8VzqRMk75URjh,the darker it is the less hydrated they are,hydration,,,"dehydration causes cells not to function properly, drop of blood sugar, thicker blood, extreme dehydration can lea to death",hydration,,,if it is too yellow i know i need to drink much more,awareness,,
484,R_2sRBAb88F333hZB,"To my knowledge the lighter the urine the more hydrated the person is, if it's dark they're dehydrated",hydration,,,"I'd assume lighter would indicate a healthy person, and darker would indicate hydration issues, maybe liver or stomach issues as well.",color,hydration,organ,"If I notice my urine to be very dark I will immediately drink some water, but to be honest it's rarely dark",drink_more,,
485,R_1Lk5N5xNGUBevlw,If you are dehydrated or not. Dark colour can cause damage to the liver,hydration,health,,"The darker the colour, the less hydrated you are which can cause damage to the liver and other body functions. All round not good for your health",color,hydration,,"If my urine is darker, I drink more bottled water",drink_more,,
486,R_3PMRfGaDYPtNw90,if it is lighter of clearer the person has drunk more water.,amount,,,the lighter the urine the healthy you are as you are keeping well hydrated.,color,hydration,,i dont tend to monitor it.,no_effect,,
488,R_3R32L0t1WgsSNyU,The more water you drink the lighter it is.,amount,,,The darker it is the more dehydrated or unhealthy you are.,color,hydration,,If I drink more water it is clearer. In the morning it is darker.,drink_more,,
489,R_2dDWAzckCCQ8rkY,The darker it is the less hydrated they are,hydration,,,If the urine is darker on a regular basis this can affect the functions of many organs in the body,organ,N/A,,It makes me aware that I have not drunk enough that day,awareness,,
490,R_1rfihY101RMznrb,the darker the colour the more dehydrated the person is,hydration,,,"if it's light then they are likely healthy at least from a hydration point, if its dark or off colour then they are likely more unhealthy",color,hydration,,If I see that my urine colour is darker than usual I will drink more,drink_more,,
491,R_3PiCdDElAPXlbRm,darker would be more concentrated so a sa rough rule of thumb drinking less,concentration,amount,,loose correlation e.g very dark might indicate jaundice,disease,,,"Not at all, I drink when I am thirsty",no_effect,,
492,R_3CC0z2qT4iGPi62,"The lighter the urine colout, the more hydrated the person is.",hydration,,,Hydration. Also medicine can alter the appearance of uring.,hydration,,,I usually drink enough throughout each day so that my uring is clear.,no_effect,,
